HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
Everton,Crystal Palace,3,0,H,2.6,3.2,2.87
Man City,Brighton,3,1,H,1.2,7.0,13.0
Chelsea,Man United,1,1,D,2.05,3.5,3.5
Aston Villa,Brentford,4,0,H,2.1,3.5,3.5
Leeds,Fulham,2,3,A,2.05,3.5,3.6
Southampton,Arsenal,1,1,D,6.0,4.0,1.57
Wolves,Leicester,0,4,A,2.25,3.25,3.25
Tottenham,Newcastle,1,2,A,2.05,3.5,3.5
West Ham,Bournemouth,2,0,H,1.55,4.0,6.0
Leicester,Man City,0,1,A,10.0,6.5,1.25
Bournemouth,Tottenham,2,3,A,5.0,3.8,1.7
Brentford,Wolves,1,1,D,2.2,3.4,3.3
Brighton,Chelsea,4,1,H,3.0,3.3,2.4
Crystal Palace,Southampton,1,0,H,1.9,3.6,4.0
Newcastle,Aston Villa,4,0,H,1.8,3.75,4.5
Fulham,Everton,0,0,D,2.37,3.4,3.0
Liverpool,Leeds,1,2,A,1.3,6.0,9.0
Arsenal,Nott'm Forest,5,0,H,1.2,7.0,12.0
Man United,West Ham,1,0,H,1.66,4.0,4.8
Leeds,Bournemouth,4,3,H,1.72,3.8,4.75
Man City,Fulham,2,1,H,1.11,9.5,19.0
Nott'm Forest,Brentford,2,2,D,2.75,3.3,2.6
Wolves,Brighton,2,3,A,3.3,3.3,2.25
Everton,Leicester,0,2,A,2.4,3.3,3.0
Chelsea,Arsenal,0,1,A,2.55,3.4,2.7
Aston Villa,Man United,3,1,H,3.3,3.8,2.1
Southampton,Newcastle,1,4,A,4.0,3.6,1.9
West Ham,Crystal Palace,1,2,A,1.9,3.4,4.2
Tottenham,Liverpool,1,2,A,3.3,3.6,2.1
Man City,Brentford,1,2,A,1.14,8.0,17.0
Bournemouth,Everton,3,0,H,2.8,3.25,2.6
Liverpool,Southampton,3,1,H,1.25,6.5,11.0
Nott'm Forest,Crystal Palace,1,0,H,3.1,3.1,2.45
Tottenham,Leeds,4,3,H,1.65,4.2,4.75
West Ham,Leicester,0,2,A,2.05,3.4,3.75
Newcastle,Chelsea,1,0,H,2.35,3.4,3.0
Wolves,Arsenal,0,2,A,6.0,4.2,1.55
Brighton,Aston Villa,1,2,A,1.83,3.75,4.2
Fulham,Man United,1,2,A,3.8,3.8,1.9
Brentford,Tottenham,2,2,D,4.0,3.6,1.91
Crystal Palace,Fulham,0,3,A,2.05,3.6,3.5
Everton,Wolves,1,2,A,2.3,3.25,3.2
Leicester,Newcastle,0,3,A,3.25,3.5,2.2
Southampton,Brighton,1,3,A,3.3,3.5,2.15
Aston Villa,Liverpool,1,3,A,4.75,4.0,1.7
Arsenal,West Ham,3,1,H,1.5,4.33,6.5
Chelsea,Bournemouth,2,0,H,1.3,5.5,10.0
